nonhalogenated_don_name,nonhalogenated_don_ID,nonhalogenated_PCE,halogenated_don_name,halogenated_don_ID,halogenated_PCE,halogenation_type,NFA,NFA_type,don_monomer_type,difference
PBDB-T,3,14.25,PM6,12,12.13,F,2BTh-2F,fluorinated,A,-2.12
PBDB-T,3,14.89,PM6,12,15,F,H2,chlorinated,A,0.11
PBDB-T,3,13.45,PM6,12,14.9,F,PY-IT,nonhalogenated,A,1.45
PBDB-T,3,13.1,PM6,12,8.11,F,BTP-0Cl,nonhalogenated,A,-4.99
PBDB-T,3,8.57,PM6,12,10.44,F,TClC2F,fluorinated,A,1.87
PBDB-T,3,11.28,PM6,12,12.35,F,BClC2F,fluorinated,A,1.07
PBDB-T,3,7,PM6,12,9.37,F,BT-4F,fluorinated,A,2.37
PBDB-T,3,10.1,PBDB-T-2Cl,16,10.3,Cl,BTCIC-4Cl,chlorinated,A,0.2
PBDB-T,3,7.63,PM6,12,10.03,F,ICCl-IDTT-BOACl,chlorinated,A,2.4
PBDB-T,3,12.2,PM6,12,1.12,F,THP-4F,fluorinated,A,-11.08
PBDB-T,3,0.1,PM6,12,0.1,F,ITIC-C3,nonhalogenated,A,0
PBDB-T,3,9.01,PM6,12,9.53,F,ITIC-C9,nonhalogenated,A,0.52
PBDB-T,3,9.8,PBDB-T-2Cl,16,5.39,Cl,ICPDT-4F,fluorinated,A,-4.41
PBDB-T-2Cl,16,5.39,PBDB-T-4Cl,220,1.04,Cl,ICPDT-4F,fluorinated,thiophene,-4.35
PBDB-T,3,5.33,PM6,12,1.8,F,N66-IC,nonhalogenated,A,-3.53
PBDB-T,3,3.6,PM6,12,8.91,F,N66-2FIC,fluorinated,A,5.31
PBDB-T,3,8.91,PM6,12,6.27,F,N65-IC,nonhalogenated,A,-2.64
PBDB-T,3,8.28,PM6,12,9.94,F,N65-2FIC,fluorinated,A,1.66
PBDB-T,3,11.68,PM6,12,2.56,F,A702,nonhalogenated,A,-9.12
PBDB-T,3,9.1,PBDB-T-2Cl,16,2.7,Cl,BTCIC,nonhalogenated,A,-6.4
PBDB-T,3,2.88,PM6,12,4.8,F,PIDIC2T,nonhalogenated,A,1.92
PBDB-T,3,3.96,PM6,12,4.92,F,PIDIC2TF,fluorinated,A,0.96
PBDB-T,3,5.26,PM6,12,7.05,F,PIDIC2TCl,chlorinated,A,1.79
PBDB-T,3,13,PM6,12,10.15,F,BT-LIC,nonhalogenated,A,-2.85
PBDB-T,3,10.78,PM6,12,3.84,F,BTP-CC,nonhalogenated,A,-6.94
